age,rq1,rq2,rq3,st_5
45,7,7,8,12
17,2,7,6,9
28,10,10,8,8
19,4,3,2,12
19,4,4,4,14
29,3,4,3,13
20,10,8,10,8
34,3,3,6,8
18,3,3,9,14
29,5,5,9,8
22,10,5,10,11
41,8,8,8,8
28,5,6,7,14
80,1,2,1,8
28,5,10,10,12
51,5,3,4,11
23,10,10,10,10
39,5,8,5,10
47,5,7,7,8
40,1,1,2,10
20,8,9,8,10
38,8,6,8,11
13,10,10,10,11
20,4,5,4,9
15,5,6,8,10
14,7,8,10,10
32,10,3,8,11
53,8,8,8,9
44,5,5,5,8
20,5,5,10,9
27,4,4,3,9
33,5,5,10,8
19,8,8,9,9
30,10,4,7,9
37,10,5,10,13
22,5,10,10,15
39,5,5,5,8
62,5,5,1,13
22,9,9,9,9
19,8,8,10,11
68,8,8,9,8
17,3,3,4,13
28,2,2,9,12
22,7,7,7,12
38,9,6,8,8
29,5,5,7,12
28,6,6,10,8
74,1,1,1,15
17,8,8,10,9
21,1,10,10,8
27,1,1,2,9
22,4,5,10,12
52,6,5,4,9
21,3,1,4,15
28,4,5,4,13
25,10,2,8,11
26,9,9,8,8
32,8,6,7,13
46,6,6,6,8
22,6,9,5,8
40,9,9,8,8
68,3,5,4,10
22,2,2,3,13
61,10,10,10,10
23,5,5,6,11
34,5,8,5,10
28,1,1,7,15
17,3,5,5,10
19,2,4,4,10
37,7,9,8,11
19,9,4,10,13
26,8,8,8,8
16,3,3,5,13
23,5,7,1,10
25,2,6,3,13
26,3,8,8,9
28,6,6,7,10
25,6,10,6,8
60,8,8,8,10
30,6,6,10,13
33,2,2,3,12
25,8,2,5,8
17,1,1,5,13
40,4,5,4,11
21,7,8,6,9
92,7,6,5,12
13,4,3,7,12
24,1,1,1,15
25,10,10,7,8
28,3,10,8,14
36,3,10,10,10
38,2,4,7,15
24,5,6,9,11
24,7,7,9,9
22,1,10,5,10
19,1,1,1,15
25,5,10,9,9
29,5,6,9,10
55,7,7,9,8
48,6,10,10,10
28,7,4,4,12
32,6,6,8,12
33,10,10,10,8
19,3,3,3,8
24,4,3,4,11
23,1,4,4,11
96,6,6,6,9
21,1,2,2,13
22,2,2,3,8
36,4,4,5,11
28,6,6,3,15
16,6,6,8,12
26,10,8,10,15
31,9,5,6,8
24,3,7,3,10
33,2,1,7,10
36,4,6,6,13
14,9,7,6,8
29,1,1,10,8
23,5,3,6,10
13,1,1,3,14
57,6,5,6,8
40,4,2,3,9
49,8,10,9,10
26,2,5,1,12
19,2,2,4,15
32,5,4,7,9
37,8,8,8,10
47,9,8,8,9
33,9,9,9,15
24,3,4,5,12
20,10,4,9,10
25,4,5,5,15
47,7,7,7,8
44,8,8,8,9
19,5,4,7,11
21,6,6,2,10
21,10,10,6,8
22,5,5,4,8
34,8,8,7,8
36,7,7,6,8
12,3,1,5,10
22,1,2,3,8
24,5,10,8,13
54,7,8,7,9
28,5,5,8,8
18,5,10,10,10
22,4,4,5,11
48,5,5,5,9
43,5,5,7,12
23,7,10,10,12
20,3,3,9,11
22,6,2,6,10
32,10,1,10,14
27,3,1,5,10
25,1,2,3,13
69,9,9,9,8
78,4,4,2,11
20,5,4,7,9
27,8,6,8,8
42,2,4,5,12
20,6,9,7,12
18,7,9,8,9
25,1,3,5,10
24,2,1,1,8
20,3,3,1,13
46,8,8,8,10
16,7,7,5,8
42,9,9,8,9
61,7,8,7,8
48,7,8,6,9
28,7,6,7,11
25,6,6,6,10
24,10,10,10,9
25,1,5,1,10
35,3,3,4,10
19,5,4,8,10
31,3,3,5,8
27,8,8,8,10
29,10,10,6,10
17,3,3,9,12
16,6,9,7,8
26,3,2,5,8
69,9,9,9,8
39,10,10,10,8
23,3,1,2,14
17,1,1,1,15
19,8,8,9,9
28,5,10,5,11
37,6,6,7,10
62,5,1,1,8
29,6,3,5,14
29,4,5,4,11
37,5,6,9,13
45,5,1,5,12
25,5,5,6,8
25,2,1,2,14
27,7,1,10,12
69,6,8,7,9
23,10,10,8,8
13,4,8,1,10
20,9,9,9,13
24,5,5,7,8
23,8,9,10,8
31,1,1,3,9
20,3,5,2,14
19,8,5,8,9
25,4,2,9,10
24,8,9,10,9
25,4,4,4,8
29,5,5,4,10
22,6,9,6,15
21,4,2,1,11
25,6,4,4,9
33,8,6,7,10
47,5,8,7,8
23,10,10,8,10
33,3,3,7,8
21,5,7,7,8
16,8,8,6,8
27,3,1,7,11
18,5,7,7,10
22,8,8,7,11
18,4,5,6,10
17,0,0,0,9
13,3,8,9,9
38,3,3,8,10
45,10,10,8,15
37,9,10,8,9
21,6,7,7,9
56,7,7,7,8
53,9,10,5,12
35,5,5,5,15
51,5,8,5,8
16,2,2,2,11
30,7,7,7,9
19,5,5,6,8
52,10,10,5,10
32,10,10,10,9
18,7,7,9,12
17,8,8,10,9
22,8,1,7,13
30,4,9,7,8
25,10,10,9,8
18,3,1,5,11
28,5,6,6,13
35,2,5,3,9
21,6,8,7,10
27,6,2,9,9
20,5,5,5,9
21,5,3,9,15
22,5,3,3,12
28,3,3,3,14
20,1,7,3,10
17,2,6,7,13
23,9,6,6,10
24,5,5,8,11
29,9,9,9,9
26,9,9,6,9
24,3,3,4,10
30,10,10,10,8
19,3,4,6,13
18,5,7,8,11
34,5,10,10,9
28,8,8,8,10
36,8,8,9,10
18,2,2,3,9
22,5,5,6,12
26,1,2,2,12
28,2,2,2,8
37,7,7,10,12
27,2,1,1,11
33,8,10,10,15
21,5,5,5,9
38,5,3,3,10
36,1,3,1,10
19,5,9,6,8
43,5,5,5,11
22,9,9,8,10
16,3,3,4,12
30,5,5,5,12
24,6,5,6,8
39,6,4,7,8
57,3,5,6,8
17,4,3,5,9
19,9,8,8,9
49,10,8,10,9
17,5,6,7,10
30,4,4,10,8
23,3,7,3,13
25,10,10,4,8
25,1,6,5,13
20,5,3,6,10
20,5,5,4,12
34,5,5,5,11
31,1,3,1,13
46,2,5,2,9
35,1,1,1,14
27,1,1,5,9
51,5,10,9,9
42,4,1,1,12
15,7,8,9,8
19,3,2,3,14
24,10,9,8,11
28,1,1,1,15
18,7,2,4,9
19,7,7,5,9
21,2,7,7,12
36,10,5,10,11
26,5,5,9,9
17,1,1,10,8
62,7,10,7,11
21,8,3,7,13
33,10,10,9,11
17,6,6,8,9
24,4,4,10,10
26,4,4,6,9
31,8,8,5,11
27,2,2,2,13
65,10,10,7,9
33,10,9,9,8
38,8,8,10,9
31,8,8,9,8
19,9,6,7,8
39,1,1,9,11
19,10,4,10,9
21,3,3,1,15
24,1,5,2,10
47,3,4,4,13
19,6,6,4,12
28,3,1,10,12
19,5,5,5,9
49,5,5,4,8
67,5,10,10,8
26,4,7,2,14
25,4,4,4,8
28,4,2,6,12
26,1,1,2,15
30,3,3,10,12
18,1,1,4,11
30,8,8,8,8
50,5,5,8,8
42,4,3,4,13
58,10,10,5,8
18,4,4,4,8
56,7,8,8,8
36,5,4,7,10
32,5,5,4,12
36,7,8,8,10
21,5,5,6,11
19,8,10,4,9
19,4,4,8,11
23,5,5,5,9
25,5,7,7,9
28,5,9,8,11
22,1,9,10,12
24,3,6,4,9
20,3,3,3,11
22,5,8,7,13
21,4,4,5,9
85,7,7,7,9
18,5,5,6,12
66,9,10,10,8
42,4,1,1,9
24,10,10,3,10
25,8,8,5,8
35,5,5,5,10
40,7,8,10,9
32,6,7,6,10
27,2,2,4,13
23,7,3,5,12
20,2,2,3,10
21,5,5,10,11
22,5,5,9,10
22,10,3,8,14
28,8,9,9,9
15,1,1,1,15
20,6,5,7,11
18,8,8,8,10
19,10,10,8,9
61,6,6,6,8
19,5,5,6,8
51,1,7,7,10
27,6,8,3,10
36,7,7,8,8
35,1,10,5,11
29,1,5,5,11
33,5,5,3,8
20,4,4,3,10
34,10,10,10,10
48,5,5,8,9
33,5,5,6,9
41,5,8,6,11
26,5,5,8,9
23,7,7,8,11
31,9,9,10,8
36,5,7,8,13
20,7,9,7,9
27,10,10,8,8
26,5,5,2,9
33,10,5,10,8
35,8,8,8,8
81,6,6,6,8
49,8,7,9,8
19,7,7,8,8
23,0,0,0,10
37,3,3,5,9
27,3,1,5,13
34,5,5,5,11
30,5,4,6,8
15,2,5,5,11
19,5,5,5,13
41,6,4,5,10
62,8,8,8,10
22,5,7,5,9
16,3,2,3,8
36,4,4,5,8
28,1,7,5,9
33,9,9,10,10
19,6,9,7,11
23,3,7,6,8
35,1,1,3,13
28,1,1,10,10
19,4,9,1,9
20,2,1,1,13
28,7,7,9,8
19,5,5,5,14
24,6,6,8,11
31,10,10,5,9
27,5,10,5,8
33,2,2,2,11
13,5,7,3,9
21,7,10,8,8
34,9,3,4,11
21,7,7,5,8
49,6,5,5,8
16,8,8,7,9
28,6,9,5,8
28,5,5,8,11
27,9,9,10,8
41,9,10,10,9
24,5,3,6,10
41,2,1,3,15
31,7,6,10,13
27,6,8,9,9
21,2,4,4,15
18,4,4,3,13
19,6,7,8,11
32,4,4,5,10
53,5,10,6,11
34,9,10,8,8
19,3,3,8,12
22,10,2,10,9
31,8,8,8,14
63,4,7,6,11
42,5,5,5,10
14,4,4,5,8
27,5,7,5,12
27,10,1,5,15
23,8,8,10,10
19,2,5,6,13
19,7,7,8,8
25,6,2,4,11
39,1,10,5,13
21,5,5,5,11
38,1,1,2,10
20,3,3,3,15
21,2,5,5,10
37,10,8,8,8
26,1,1,1,12
31,7,7,4,9
28,1,9,10,14
15,4,3,1,15
19,6,6,5,8
24,5,5,10,11
51,5,6,5,8
33,7,8,7,8
41,7,8,7,8
30,9,9,10,8
57,6,8,6,13
30,6,7,8,8
32,5,4,5,14
16,6,6,10,8
31,1,8,10,10
32,3,3,6,9
45,3,2,2,15
14,3,3,3,12
18,5,5,5,15
38,6,6,7,11
25,6,5,4,10
42,8,8,9,9
18,5,3,2,10
34,3,3,10,11
28,6,7,7,9
25,5,1,3,13
29,5,5,10,13
29,1,10,5,9
24,4,3,3,14
32,6,6,10,9
31,7,7,8,13
42,7,5,7,14
24,3,3,4,9
33,5,5,8,10
27,5,5,5,10
26,2,2,6,8
44,1,1,1,15
37,7,3,7,9
17,7,2,4,10
18,7,7,7,8
27,5,5,3,10
43,4,4,5,9
33,5,5,5,13
24,1,10,10,13
23,4,4,10,8
26,6,6,5,11
21,8,9,8,10
22,7,7,8,8
18,7,7,8,11
14,2,3,5,12
24,2,5,7,14
23,5,8,7,11
25,10,5,10,10
45,9,3,9,8
24,8,2,8,11
25,8,8,8,10
15,6,1,5,15
31,2,2,5,12
32,7,5,7,8
19,5,3,4,14
24,3,2,3,8
27,4,1,4,13
21,4,5,6,9
35,10,10,10,9
16,5,1,5,11
19,5,5,5,11
28,3,1,3,11
12,5,7,6,8
28,2,3,3,9
18,1,2,3,10
40,10,1,10,10
27,6,8,7,8
18,2,4,8,12
22,6,6,5,9
19,4,4,10,8
33,5,10,4,10
23,3,3,5,12
13,10,10,10,11
47,8,9,9,10
23,2,5,4,14
82,7,6,5,12
44,6,6,6,8
15,3,3,3,9
17,6,6,5,9
29,8,9,8,9
27,7,6,7,8
33,4,3,5,10
17,10,10,8,9
18,6,6,5,11
30,6,7,6,8
55,8,9,7,13
86,9,9,8,11
48,5,5,8,12
34,9,9,9,11
40,5,2,3,12
30,4,4,8,13
29,10,10,3,12
56,9,8,8,9
28,5,4,10,11
22,10,10,10,8
19,5,3,5,10
19,6,6,9,12
44,10,7,7,11
18,6,6,7,8
19,7,7,10,9
46,10,5,10,11
34,5,5,5,10
48,4,5,5,11
18,5,6,7,11
44,9,9,9,15
28,6,6,10,11
32,10,10,10,9
29,5,5,8,9
25,2,2,3,8
20,5,5,5,12
29,6,9,7,11
19,8,8,8,9
13,8,8,5,8
23,8,8,3,12
48,5,5,5,15
54,5,5,5,9
29,3,3,3,13
22,10,10,10,10
49,8,9,10,12
43,8,8,10,8
22,3,3,10,15
24,5,7,5,8
30,5,5,5,8
36,9,9,9,9
33,5,9,5,12
29,6,3,8,11
29,4,4,5,8
30,10,1,10,8
19,7,7,8,13
28,9,9,8,8
42,4,6,7,11
27,4,3,3,13
29,6,5,8,11
13,8,8,10,9
38,4,5,5,14
39,5,5,9,9
50,5,10,8,8
17,9,9,9,8
40,4,4,4,15
16,2,1,3,12
29,5,5,5,9
36,2,2,2,14
56,1,1,10,8
39,9,9,5,9
35,3,7,7,10
18,6,5,8,9
23,5,5,8,12
26,5,3,5,8
38,4,4,3,10
24,1,3,10,11
25,2,5,1,12
19,1,7,10,14
31,9,9,9,10
64,9,9,9,8
15,6,6,6,12
28,6,6,6,8
31,5,8,8,9
20,5,5,8,13
31,1,10,1,15
22,3,1,2,12
28,3,3,10,11
24,3,7,7,9
52,5,5,5,8
36,8,8,7,8
25,5,3,6,10
25,6,8,6,9
27,9,9,7,8
26,5,4,5,11
69,10,10,10,8
15,5,5,5,8
64,10,10,9,8
58,5,5,6,10
40,4,8,3,14
22,1,1,2,15
18,7,6,6,9
40,8,5,8,8
29,10,5,10,15
50,6,5,8,8
21,8,10,7,10
57,7,7,7,9
23,2,5,3,14
16,5,2,8,8
18,5,10,3,15
27,5,5,10,10
50,6,8,8,11
19,6,6,7,8
23,1,1,1,12
46,10,10,10,9
34,4,6,8,9
18,2,2,2,12
70,9,9,9,10
19,7,7,3,13
28,6,5,6,9
25,10,10,10,9
47,9,10,10,10
18,5,5,10,11
14,6,6,8,9
43,5,5,5,8
64,5,5,8,8
21,7,9,8,8
25,10,10,8,10
18,2,2,3,13
32,10,10,10,12
19,8,8,6,8
19,7,8,3,12
53,3,2,3,9
16,7,7,6,14
20,3,5,1,11
38,9,9,5,8
27,1,4,4,13
24,3,3,10,10
48,7,7,7,9
31,2,2,5,9
30,10,10,10,9
19,5,4,1,13
26,1,1,3,13
21,7,10,10,9
24,3,2,3,11
47,5,5,10,13
26,4,2,5,14
14,10,7,5,12
51,5,5,9,10
28,1,1,2,11
27,7,8,8,10
26,2,2,1,10
56,7,7,8,8
29,3,3,5,14
33,3,8,7,10
22,2,3,2,12
34,4,4,8,8
48,2,10,10,8
40,5,8,5,12
20,10,5,10,9
15,8,9,4,9
24,4,7,5,11
19,7,8,8,10
48,5,5,5,12
19,10,10,8,9
26,4,4,4,12
30,8,5,6,8
29,8,5,9,11
33,4,4,4,9
49,4,3,6,9
39,9,9,9,8
80,8,8,8,8
62,9,9,8,8
35,7,5,8,9
33,3,2,4,9
26,5,1,3,12
25,1,1,10,14
19,9,9,10,11
21,7,7,8,12
19,5,5,8,8
67,10,10,10,8
22,10,10,9,11
42,10,10,1,15
43,3,3,5,9
21,6,5,7,10
15,4,4,5,13
18,5,7,6,11
24,4,4,10,9
33,6,6,7,9
27,8,8,8,9
28,1,1,1,13
18,5,8,8,13
25,3,3,5,8
37,7,5,8,8
24,8,6,8,12
36,7,7,7,11
24,6,1,5,13
53,10,2,5,14
23,10,10,6,9
27,9,5,8,8
24,7,5,6,11
57,8,4,10,10
18,5,3,1,9
29,3,3,3,11
20,1,1,1,15
22,2,8,6,8
23,3,6,6,11
19,8,8,8,11
19,1,6,8,12
22,4,5,4,9
18,4,5,6,11
17,7,3,7,11
25,3,2,3,8
19,6,1,4,11
22,3,3,3,13
20,1,9,7,10
20,2,1,2,13
22,8,8,8,11
23,8,8,5,8
53,6,6,6,8
23,3,4,4,10
40,5,6,7,9
33,10,5,7,8
38,9,9,10,10
28,5,5,7,8
21,3,3,7,11
15,4,2,5,14
24,4,10,8,9
17,8,5,7,8
16,3,3,3,12
13,3,3,4,12
44,7,5,6,9
18,2,2,3,9
38,7,5,6,8
27,6,3,8,11
50,6,6,6,10
18,10,8,7,9
19,3,3,4,10
45,5,5,5,14
35,1,1,10,15
25,4,2,5,9
52,5,5,7,9
16,4,5,8,8
27,5,7,6,8
51,8,8,8,10
63,10,1,8,8
17,5,5,8,8
27,3,2,2,13
25,3,1,2,11
44,8,3,5,8
28,9,10,10,8
18,4,10,6,12
26,3,1,3,15
35,1,5,2,15
27,10,10,8,9
27,10,8,8,10
34,5,8,9,8
19,3,4,3,10
21,8,7,8,13
41,10,4,8,11
27,10,10,10,8
28,3,3,4,12
28,8,8,9,8
29,7,6,8,9
17,8,8,9,8
25,10,10,10,15
28,5,7,5,9
29,8,8,7,9
43,4,10,10,15
23,7,7,7,10
18,10,10,10,8
24,10,10,10,9
40,8,8,6,10
55,10,1,10,10
58,1,1,1,8
19,4,7,8,10
25,1,3,3,15
55,1,10,10,13
41,6,6,7,11
58,8,8,8,8
40,7,7,7,10
30,1,5,1,14
86,10,9,9,8
26,6,6,7,12
24,8,8,3,9
60,5,6,7,8
30,10,10,7,13
23,1,1,1,11
13,2,2,8,12
27,8,10,8,9
21,8,8,8,10
27,8,8,5,13
24,10,10,8,11
20,4,5,8,10
31,8,8,8,8
20,10,7,10,8
22,6,4,5,15
17,7,10,7,8
20,5,5,4,8
31,3,3,6,12
31,3,4,4,8
22,10,10,8,10
23,5,5,7,14
21,8,3,7,11
33,9,9,9,15
31,5,1,10,9
21,8,8,5,12
88,8,8,8,8
35,10,2,4,11
38,3,3,8,9
26,3,8,5,9
27,5,5,7,9
25,10,5,8,9
31,6,3,5,9
33,5,7,8,9
27,5,5,5,8
25,8,9,9,11
20,5,5,10,10
24,6,10,7,12
35,5,5,5,9
23,4,5,8,11
21,8,8,10,9
28,10,10,10,11
66,6,6,6,8
20,5,5,2,11
22,2,5,8,11
22,6,6,9,12
95,6,6,6,10
28,8,8,6,12
35,1,1,9,13
30,8,8,8,15
22,4,4,8,10
34,1,1,1,13
19,6,6,6,11
17,5,8,9,9
25,8,4,7,9
26,6,7,5,10
23,5,7,7,8
31,10,10,7,11
26,10,10,10,8
23,10,10,10,10
30,3,3,3,10
30,10,10,10,10
31,7,5,8,14
57,6,7,8,13
27,9,10,9,11
32,2,3,2,11
22,1,2,1,10
26,9,9,8,9
39,7,4,10,8
13,5,5,8,12
24,8,8,3,10
28,5,2,5,15
31,5,5,7,9
29,1,5,5,15
14,4,4,8,10
40,3,5,3,14
23,5,10,8,10
26,1,1,2,10
16,3,3,5,11
57,4,4,5,8
47,3,5,4,9
69,9,9,9,8
13,3,1,4,12
24,10,1,10,15
20,1,1,2,10
41,5,4,3,8
18,3,1,1,10
26,6,7,6,9
67,7,10,8,8
16,5,4,7,10
21,4,6,2,10
20,7,6,5,9
21,5,5,8,10
40,7,7,8,10
23,2,2,4,12
15,3,3,2,11
25,3,3,10,12
55,10,10,10,15
14,4,4,6,14
24,9,9,8,11
39,2,2,5,8
35,3,4,6,11
21,3,8,4,12
67,5,7,8,10
36,4,4,4,15
39,3,1,2,12
45,5,5,4,9
13,3,4,5,8
20,8,8,7,8
81,9,9,10,10
20,5,5,4,8
18,9,1,8,11
20,8,6,8,9
52,2,2,3,11
19,10,10,10,9
41,1,5,5,11
20,6,6,4,11
24,3,3,7,10
24,8,8,8,8
19,10,1,5,15
27,10,7,9,8
13,4,4,7,9
30,8,9,7,8
25,9,6,9,13
23,7,7,10,9
29,3,1,5,10
27,7,7,10,14
19,6,5,5,9
18,10,7,10,10
28,7,7,7,8
63,5,10,10,8
24,5,5,10,8
21,6,6,7,9
31,8,9,8,8
43,1,1,9,13
23,2,5,3,10
23,4,4,4,12
24,3,2,2,11
13,8,8,9,8
22,2,7,3,15
21,7,10,8,9
24,4,8,7,9
19,4,4,8,9
37,3,3,2,13
21,9,7,10,8
23,9,9,10,11
35,10,10,10,8
21,4,4,4,15
21,5,10,10,10
50,9,9,10,9
14,5,4,5,10
13,3,1,1,12
40,9,9,9,9
76,5,5,5,10
40,5,5,7,8
21,10,4,5,8
14,5,6,7,8
28,9,7,8,8
29,2,1,4,11
22,4,1,2,15
16,6,8,7,12
34,1,2,1,10
40,3,3,6,10
23,4,1,2,13
23,4,4,3,8
29,3,5,2,10
32,6,5,6,8
49,3,4,5,8
26,8,8,5,9
30,1,2,2,13
23,4,4,5,10
25,1,3,4,12
14,5,5,8,13
23,10,5,10,8
24,7,7,6,8
32,10,1,10,11
30,5,3,4,10
39,8,10,7,11
61,10,10,10,11
37,7,7,8,9
15,6,10,10,9
22,5,8,7,11
17,2,2,1,9
25,9,9,10,8
23,3,3,3,15
34,10,5,10,13
48,5,7,7,10
24,2,2,5,9
31,5,5,5,12
15,2,2,4,13
38,5,8,9,9
14,10,4,8,12
39,10,5,5,15
50,4,4,4,8
34,5,5,5,8
17,3,10,4,11
41,5,5,7,8
41,8,9,6,10
20,8,6,8,8
50,5,5,7,15
18,5,10,10,9
51,5,5,5,8
22,10,6,8,13
33,9,3,6,10
33,4,10,10,8
23,2,2,6,10
47,8,10,8,9
29,1,3,5,9
23,4,3,5,9
22,7,7,9,12
22,0,0,0,8
14,4,8,8,11
60,5,5,5,10
19,1,1,3,10
23,8,8,7,9
29,1,1,3,10
27,7,4,5,9
20,8,7,9,14
28,4,4,7,9
24,2,8,6,9
36,5,5,7,12
21,7,8,7,10
24,1,3,8,11
26,6,5,8,12
26,5,10,10,8
31,7,7,6,12
32,5,5,5,10
75,9,9,5,11
27,10,10,6,12
50,8,2,10,10
28,6,3,5,8
29,4,2,7,8
50,4,4,4,8
16,8,8,6,10
19,5,10,10,8
30,6,3,3,8
13,8,4,6,8
22,1,4,4,15
19,4,5,7,11
42,5,10,5,11
28,10,7,10,8
19,9,5,3,8
31,10,10,10,10
25,2,2,4,11
25,8,8,8,9
21,2,9,5,8
39,3,7,4,10
35,7,10,8,15
21,6,2,9,12
26,6,6,6,9
33,7,6,6,12
17,6,8,9,9
41,9,9,10,8
23,1,2,2,15
23,5,5,6,15
21,5,4,6,8
20,8,7,8,9
25,4,7,5,9
22,1,1,1,12
24,4,8,6,10
34,1,4,8,15
22,8,8,5,9
27,5,3,8,11
18,3,3,5,9
25,6,6,6,8
23,5,5,7,9
40,3,6,5,15
20,8,5,7,12
23,1,4,4,12
15,1,5,1,13
35,5,4,7,10
35,2,2,3,10
56,8,7,8,9
26,5,5,4,8
31,3,3,2,10
34,4,1,10,9
67,7,10,6,8
18,10,10,10,11
59,8,8,8,8
25,10,10,7,9
24,5,4,5,8
37,3,1,5,15
30,5,5,8,8
32,1,4,6,11
16,5,5,8,11
67,7,8,6,8
20,5,5,8,10
53,10,10,10,11
28,1,2,10,14
55,1,5,1,14
52,5,6,4,13
26,5,2,4,9
23,4,10,7,11
24,7,7,9,13
20,1,1,1,15
26,5,2,4,9
19,5,5,8,9
50,7,8,10,10
27,10,10,10,13
26,8,9,9,12
55,6,7,5,12
18,6,6,6,9
23,2,2,1,12
31,2,8,7,8
30,2,5,8,11
30,5,10,8,9
41,1,1,1,8
20,5,10,6,9
25,1,2,2,9
62,5,5,5,9
24,10,10,5,11
27,10,1,1,13
15,8,6,8,9
20,4,4,4,13
20,8,6,4,11
27,1,1,10,14
14,1,1,6,11
28,3,3,7,13
18,10,7,10,8
24,1,3,10,11
30,6,6,5,8
19,10,10,10,8
47,5,5,6,11
25,5,5,10,8
27,5,10,10,12
37,8,8,9,13
27,5,4,5,11
22,3,5,4,10
14,4,4,8,8
35,3,2,3,8
24,8,8,8,10
22,3,6,5,12
18,4,10,5,9
20,10,2,6,9
52,9,9,8,8
26,3,5,6,14
26,2,5,2,12
22,1,4,3,14
18,9,5,10,9
27,5,5,6,11
23,6,10,8,11
40,8,7,7,10
26,10,7,8,12
24,5,5,5,9
27,5,5,4,15
31,1,1,1,12
32,1,1,1,9
22,5,8,9,11
15,7,6,7,11
15,5,4,8,12
32,5,7,5,9
21,8,2,2,13
28,5,5,5,15
29,5,5,9,8
31,5,5,5,8
40,8,8,10,10
36,10,8,9,8
43,6,6,5,8
36,4,2,6,11
20,5,8,7,9
18,8,8,6,10
18,8,2,5,10
25,1,3,1,11
17,5,5,7,10
27,8,10,10,14
19,2,2,2,12
18,4,1,2,13
24,3,3,3,12
25,5,5,5,10
20,4,6,5,8
25,9,9,6,10
25,7,7,8,9
18,1,8,8,11
25,10,10,10,9
22,5,5,10,10
32,1,10,8,9
24,10,1,10,15
52,5,7,5,9
36,5,5,4,11
15,6,6,9,9
13,2,2,5,14
70,5,5,5,8
14,5,5,5,13
15,9,9,8,10
31,10,10,9,8
15,3,5,3,12
23,5,7,6,13
31,8,8,8,15
18,10,10,7,12
78,3,3,3,8
20,8,6,7,11
14,5,3,3,12
27,1,1,6,14
41,7,7,5,8
23,6,5,5,13
26,9,9,9,8
23,8,5,5,9
20,8,9,9,8
34,1,5,1,9
25,10,10,8,9
22,8,8,8,9
21,3,5,3,12
31,5,7,5,8
25,6,10,10,10
30,2,2,5,12
23,10,5,10,15
25,7,5,8,10
25,6,7,6,8
43,3,3,4,15
29,2,2,3,8
42,3,1,4,13
22,6,4,5,9
40,5,5,10,9
28,5,9,10,10
65,8,8,3,11
22,1,1,1,14
39,6,6,4,11
28,4,3,4,10
19,3,4,4,11
65,9,10,9,8
14,10,10,10,12
27,4,4,5,11
24,4,2,3,11
20,6,6,6,13
21,2,4,3,8
19,8,3,8,11
26,2,2,9,8
30,5,1,10,8
26,5,2,4,10
19,8,8,8,9
23,2,2,2,12
52,1,1,1,12
28,2,2,4,13
33,10,10,7,10
27,1,1,2,11
13,3,5,7,8
36,3,3,7,14
45,5,8,8,10
62,5,5,5,10
19,10,5,10,15
18,9,9,8,11
79,2,2,2,10
14,5,4,9,9
19,7,8,9,11
69,9,9,8,8
16,10,10,10,8
24,1,1,10,10
50,8,7,9,10
24,5,5,5,10
33,8,5,10,15
58,4,4,4,9
20,7,7,7,11
13,7,7,6,8
12,4,4,8,10
39,1,1,8,13
66,7,8,8,8
21,5,8,7,11
26,6,6,7,8
23,8,8,3,9
54,4,9,8,10
39,10,10,10,12
38,9,9,8,9
44,3,3,8,9
30,6,6,6,11
19,8,8,9,11
22,3,3,3,8
36,6,6,6,10
76,7,7,7,8
28,10,10,5,10
25,8,9,9,11
29,5,5,5,9
14,3,3,10,9
27,8,3,8,13
15,10,10,10,8
39,5,5,4,8
44,4,4,4,8
23,8,8,5,9
56,1,1,1,15
49,5,5,5,8
21,10,10,10,12
68,7,3,5,10
21,5,2,8,11
28,0,0,0,11
53,5,5,5,10
25,5,4,5,10
20,2,5,2,11
54,6,6,6,9
42,10,1,10,9
56,8,9,8,10
31,5,3,9,8
40,5,6,5,12
46,6,10,6,8
39,8,9,10,9
16,7,3,7,12
37,10,10,10,12
19,4,2,7,10
32,6,6,7,13
25,1,1,7,11
12,4,4,1,11
24,3,5,2,13
61,7,7,6,10
25,3,3,4,12
51,6,7,7,8
24,2,4,7,10
19,1,2,2,8
23,4,7,9,10
35,7,7,7,8
21,5,10,8,9
19,10,10,10,9
30,5,5,8,12
40,5,7,8,9
25,1,1,5,14
21,8,8,5,8
25,5,5,8,8
66,5,3,5,13
19,5,5,7,13
16,5,5,5,13
29,9,9,9,8
30,5,4,4,12
21,7,7,9,8
24,3,1,5,11
17,9,9,9,12
31,5,5,5,12
24,6,4,7,9
19,3,3,7,13
20,7,1,8,13
16,5,3,7,9
26,3,3,10,13
35,3,6,9,8
23,10,10,10,15
18,2,1,8,11
30,10,5,3,13
23,6,7,6,11
37,1,2,4,11
20,5,5,6,9
23,4,3,6,9
20,1,3,2,15
28,8,9,3,8
67,5,1,2,8
26,3,1,4,13
21,6,6,6,9
12,7,8,7,11
15,8,9,9,8
17,6,3,9,10
33,3,7,3,12
36,10,4,8,14
24,5,10,8,9
38,9,8,10,8
29,8,9,5,9
22,10,10,8,8
25,7,6,8,10
26,10,8,10,8
41,5,6,6,13
25,10,1,5,12
28,3,5,3,9
32,1,10,10,15
49,5,5,7,9
33,5,6,7,8
20,4,6,7,8
24,9,5,10,8
24,9,8,8,8
35,4,5,5,9
17,9,5,6,12
20,5,5,4,8
29,10,10,10,12
22,8,1,1,13
19,6,7,7,10
27,8,5,5,10
24,9,8,8,8
57,9,9,9,15
