age,rq1,rq2,rq3,st_5
20,2,3,6,9
16,10,2,8,11
24,2,4,4,8
48,10,7,9,10
25,5,5,9,10
12,1,3,9,10
26,10,10,10,10
23,4,4,9,10
35,5,5,4,8
21,4,4,4,14
40,3,3,4,14
24,5,5,4,11
15,3,5,9,8
35,5,8,8,10
20,9,8,4,9
54,6,7,7,8
17,4,4,5,8
36,7,10,10,9
24,4,6,6,11
29,2,2,8,10
29,1,1,1,15
20,5,8,8,8
19,3,1,9,8
55,8,8,8,15
23,4,8,3,11
21,4,6,3,13
30,10,2,9,9
19,1,5,5,14
56,3,3,5,8
16,8,9,8,10
27,1,1,5,10
36,7,3,3,12
31,10,5,3,12
21,5,5,7,11
29,5,7,6,13
42,10,10,9,12
13,5,5,8,8
23,8,3,7,15
24,3,5,5,14
34,7,6,4,8
10,1,8,7,11
33,7,6,6,8
29,5,3,5,12
81,8,8,8,8
30,3,3,5,9
18,1,5,5,15
21,2,3,3,12
15,10,10,10,10
22,10,10,10,15
35,8,4,7,11
13,5,10,8,8
22,2,2,5,9
22,9,8,10,8
20,1,1,1,15
15,5,8,8,9
32,2,2,6,14
22,3,3,5,11
35,4,4,5,9
14,5,5,5,10
19,3,3,9,12
33,5,8,9,10
17,3,10,10,9
31,5,5,4,8
31,4,4,5,10
52,6,6,7,11
35,8,5,8,8
29,5,1,5,10
41,7,7,7,9
35,8,9,9,14
26,4,5,6,9
30,4,5,4,9
31,5,3,5,10
45,7,7,7,8
34,10,10,5,12
36,6,5,7,8
24,10,10,10,9
20,5,8,9,8
27,1,1,1,9
28,1,1,5,9
40,5,5,5,8
30,9,9,9,10
68,5,5,1,10
20,8,7,8,8
27,6,4,8,11
34,1,1,5,8
21,4,10,10,11
27,1,1,8,13
17,6,5,8,9
21,4,4,10,14
70,4,5,5,8
25,5,4,4,8
22,3,4,3,11
15,5,5,8,9
19,3,3,2,9
24,1,3,10,12
26,7,9,8,15
17,8,5,10,8
28,4,5,4,11
42,7,8,7,8
19,10,1,10,14
25,6,8,8,10
22,1,2,2,14
33,3,10,8,12
55,8,8,8,15
30,1,1,5,10
20,3,3,3,10
39,5,5,5,11
13,5,2,5,9
26,1,1,1,13
33,9,8,10,9
22,7,7,8,8
16,5,4,1,12
27,4,5,5,15
35,2,5,5,11
22,7,5,6,13
20,5,3,8,11
21,3,3,5,8
21,7,6,5,8
23,4,4,7,9
30,7,7,7,11
30,6,6,7,10
31,3,3,5,8
